# Wavelength (um)   Transmission
  0.865000         0.0000
  0.865100         0.0000
  0.865200         0.0000
  0.865300         0.0000
  0.865400         0.0000
  0.865500         0.0000
  0.865600         0.0000
  0.865700         0.0000
  0.865800         0.0000
  0.865900         0.0000
  0.866000         0.0000
  0.866100         0.0000
  0.866200         0.0000
  0.866300         0.0000
  0.866400         0.0000
  0.866500         0.0000
  0.866600         0.0000
  0.866700         0.0000
  0.866800         0.0000
  0.866900         0.0000
  0.867000         0.0000
  0.867100         0.0000
  0.867200         0.0000
  0.867300         0.0000
  0.867400         0.0000
  0.867500         0.0000
  0.867600         0.0000
  0.867700         0.0000
  0.867800         0.0000
  0.867900         0.0000
  0.868000         0.0000
  0.868100         1.0000
  0.868200         1.0000
  0.868300         1.0000
  0.868400         1.0000
  0.868500         1.0000
  0.868600         1.0000
  0.868700         1.0000
  0.868800         1.0000
  0.868900         1.0000
  0.869000         1.0000
  0.869100         1.0000
  0.869200         1.0000
  0.869300         1.0000
  0.869400         1.0000
  0.869500         1.0000
  0.869600         1.0000
  0.869700         1.0000
  0.869800         1.0000
  0.869900         1.0000
  0.870000         1.0000
  0.870100         1.0000
  0.870200         1.0000
  0.870300         1.0000
  0.870400         1.0000
  0.870500         1.0000
  0.870600         1.0000
  0.870700         1.0000
  0.870800         1.0000
  0.870900         1.0000
  0.871000         1.0000
  0.871100         1.0000
  0.871200         1.0000
  0.871300         1.0000
  0.871400         1.0000
  0.871500         1.0000
  0.871600         1.0000
  0.871700         1.0000
  0.871800         1.0000
  0.871900         1.0000
  0.872000         1.0000
  0.872100         1.0000
  0.872200         1.0000
  0.872300         1.0000
  0.872400         1.0000
  0.872500         1.0000
  0.872600         1.0000
  0.872700         1.0000
  0.872800         1.0000
  0.872900         1.0000
  0.873000         1.0000
  0.873100         1.0000
  0.873200         1.0000
  0.873300         1.0000
  0.873400         1.0000
  0.873500         1.0000
  0.873600         1.0000
  0.873700         1.0000
  0.873800         1.0000
  0.873900         1.0000
  0.874000         1.0000
  0.874100         1.0000
  0.874200         1.0000
  0.874300         1.0000
  0.874400         1.0000
  0.874500         1.0000
  0.874600         1.0000
  0.874700         1.0000
  0.874800         1.0000
  0.874900         1.0000
  0.875000         1.0000
  0.875100         1.0000
  0.875200         1.0000
  0.875300         1.0000
  0.875400         1.0000
  0.875500         1.0000
  0.875600         1.0000
  0.875700         1.0000
  0.875800         1.0000
  0.875900         1.0000
  0.876000         1.0000
  0.876100         1.0000
  0.876200         1.0000
  0.876300         1.0000
  0.876400         1.0000
  0.876500         1.0000
  0.876600         1.0000
  0.876700         1.0000
  0.876800         1.0000
  0.876900         1.0000
  0.877000         1.0000
  0.877100         1.0000
  0.877200         1.0000
  0.877300         1.0000
  0.877400         1.0000
  0.877500         1.0000
  0.877600         1.0000
  0.877700         1.0000
  0.877800         1.0000
  0.877900         1.0000
  0.878000         1.0000
  0.878100         0.0000
  0.878200         0.0000
  0.878300         0.0000
  0.878400         0.0000
  0.878500         0.0000
  0.878600         0.0000
  0.878700         0.0000
  0.878800         0.0000
  0.878900         0.0000
  0.879000         0.0000
  0.879100         0.0000
  0.879200         0.0000
  0.879300         0.0000
  0.879400         0.0000
  0.879500         0.0000
  0.879600         0.0000
  0.879700         0.0000
  0.879800         0.0000
  0.879900         0.0000
  0.880000         0.0000
  0.880100         0.0000
  0.880200         0.0000
  0.880300         0.0000
  0.880400         0.0000
  0.880500         0.0000
  0.880600         0.0000
  0.880700         0.0000
  0.880800         0.0000
  0.880900         0.0000
  0.881000         0.0000
