This file contains the corresponding layer temperatures and pressures.
layer   cent.temp.[K]     cent.press.[10^-6 bar]  
0       1917.49           1e+09                   
1       1917.49           7.94328e+08             
2       1917.49           6.30957e+08             
3       1917.5            5.01187e+08             
4       1917.5            3.98107e+08             
5       1917.5            3.16228e+08             
6       1917.51           2.51189e+08             
7       1917.52           1.99526e+08             
8       1917.53           1.58489e+08             
9       1917.54           1.25893e+08             
10      1917.54           1e+08                   
11      1917.55           7.94328e+07             
12      1917.56           6.30957e+07             
13      1917.56           5.01187e+07             
14      1917.57           3.98107e+07             
15      1917.57           3.16228e+07             
16      1917.58           2.51189e+07             
17      1917.58           1.99526e+07             
18      1917.58           1.58489e+07             
19      1917.59           1.25893e+07             
20      1917.59           1e+07                   
21      1917.59           7.94328e+06             
22      1917.56           6.30957e+06             
23      1917.33           5.01187e+06             
24      1916.4            3.98107e+06             
25      1914.15           3.16228e+06             
26      1910.27           2.51189e+06             
27      1904.15           1.99526e+06             
28      1894.94           1.58489e+06             
29      1880.89           1.25893e+06             
30      1860.26           1e+06                   
31      1833.69           794328                  
32      1799.61           630957                  
33      1757.2            501187                  
34      1707.17           398107                  
35      1652.21           316228                  
36      1596              251189                  
37      1539.77           199526                  
38      1485.22           158489                  
39      1432.67           125893                  
40      1383.39           100000                  
41      1337.61           79432.8                 
42      1293.81           63095.7                 
43      1251.27           50118.7                 
44      1211.25           39810.7                 
45      1176.23           31622.8                 
46      1145.13           25118.9                 
47      1116.98           19952.6                 
48      1092.67           15848.9                 
49      1071.15           12589.3                 
50      1053.09           10000                   
51      1036.88           7943.28                 
52      1022.31           6309.57                 
53      1010.23           5011.87                 
54      1001.34           3981.07                 
55      996.075           3162.28                 
56      990.862           2511.89                 
57      986.587           1995.26                 
58      983.64            1584.89                 
59      981.992           1258.93                 
60      981.286           1000                    
61      979.636           794.328                 
62      977.982           630.957                 
63      976.437           501.187                 
64      974.92            398.107                 
65      973.261           316.228                 
66      970.815           251.189                 
67      968.063           199.526                 
68      965.107           158.489                 
69      961.981           125.893                 
70      958.699           100                     
71      955.135           79.4328                 
72      951.556           63.0957                 
73      948.102           50.1187                 
74      944.832           39.8107                 
75      941.668           31.6228                 
76      938.375           25.1189                 
77      934.737           19.9526                 
78      930.507           15.8489                 
79      925.519           12.5893                 
80      919.719           10                      
81      913.16            7.94328                 
82      906.022           6.30957                 
83      898.467           5.01187                 
84      890.634           3.98107                 
85      882.905           3.16228                 
86      875.463           2.51189                 
87      868.477           1.99526                 
88      862.068           1.58489                 
89      856.31            1.25893                 
90      851.236           1                       
91      846.839           0.794328                
92      843.092           0.630957                
93      839.94            0.501187                
94      837.318           0.398107                
95      835.155           0.316228                
96      833.384           0.251189                
97      831.942           0.199526                
98      830.775           0.158489                
99      829.832           0.125893                
100     829.076           0.1                     
101     828.467           0.0794328               
102     827.98            0.0630957               
103     827.593           0.0501187               
104     827.3             0.0398107               
105     827.277           0.0316228               
106     828.304           0.0251189               
107     833.824           0.0199526               
108     846.342           0.0158489               
109     902.267           0.0125893               
110     904.283           0.01                    
111     1617.83           0.00794328              
112     2036.6            0.00630957              
113     2062.17           0.00501187              
114     2078.87           0.00398107              
115     2084.95           0.00316228              
116     2088.8            0.00251189              
117     2091.16           0.00199526              
118     2092.75           0.00158489              
119     2093.88           0.00125893              
120     2094.66           0.001                   
