This file contains the corresponding layer temperatures and pressures.
layer   cent.temp.[K]     cent.press.[10^-6 bar]  
0       1905.21           1e+09                   
1       1905.21           7.94328e+08             
2       1905.22           6.30957e+08             
3       1905.22           5.01187e+08             
4       1905.22           3.98107e+08             
5       1905.24           3.16228e+08             
6       1905.25           2.51189e+08             
7       1905.26           1.99526e+08             
8       1905.27           1.58489e+08             
9       1905.27           1.25893e+08             
10      1905.28           1e+08                   
11      1905.29           7.94328e+07             
12      1905.3            6.30957e+07             
13      1905.3            5.01187e+07             
14      1905.31           3.98107e+07             
15      1905.31           3.16228e+07             
16      1905.32           2.51189e+07             
17      1905.32           1.99526e+07             
18      1905.32           1.58489e+07             
19      1905.33           1.25893e+07             
20      1905.33           1e+07                   
21      1905.33           7.94328e+06             
22      1905.3            6.30957e+06             
23      1905.07           5.01187e+06             
24      1904.14           3.98107e+06             
25      1901.88           3.16228e+06             
26      1897.98           2.51189e+06             
27      1891.81           1.99526e+06             
28      1882.5            1.58489e+06             
29      1868.41           1.25893e+06             
30      1847.91           1e+06                   
31      1821.68           794328                  
32      1788.22           630957                  
33      1746.8            501187                  
34      1698.13           398107                  
35      1644.69           316228                  
36      1590.08           251189                  
37      1535.41           199526                  
38      1482.2            158489                  
39      1430.71           125893                  
40      1382.23           100000                  
41      1337              79432.8                 
42      1293.61           63095.7                 
43      1251.47           50118.7                 
44      1211.83           39810.7                 
45      1177.17           31622.8                 
46      1146.5            25118.9                 
47      1118.9            19952.6                 
48      1095.3            15848.9                 
49      1075.09           12589.3                 
50      1058.46           10000                   
51      1043.96           7943.28                 
52      1031.54           6309.57                 
53      1022.06           5011.87                 
54      1016.18           3981.07                 
55      1014.12           3162.28                 
56      1012.49           2511.89                 
57      1012.26           1995.26                 
58      1013.73           1584.89                 
59      1016.85           1258.93                 
60      1021.19           1000                    
61      1024.96           794.328                 
62      1029.08           630.957                 
63      1033.6            501.187                 
64      1038.35           398.107                 
65      1043.13           316.228                 
66      1047.24           251.189                 
67      1051.15           199.526                 
68      1054.86           158.489                 
69      1058.3            125.893                 
70      1061.4            100                     
71      1063.98           79.4328                 
72      1066.26           63.0957                 
73      1068.4            50.1187                 
74      1070.5            39.8107                 
75      1072.54           31.6228                 
76      1074.3            25.1189                 
77      1075.54           19.9526                 
78      1075.98           15.8489                 
79      1075.39           12.5893                 
80      1073.65           10                      
81      1070.75           7.94328                 
82      1066.7            6.30957                 
83      1061.59           5.01187                 
84      1055.52           3.98107                 
85      1048.64           3.16228                 
86      1041.2            2.51189                 
87      1033.46           1.99526                 
88      1025.68           1.58489                 
89      1018.06           1.25893                 
90      1010.76           1                       
91      1003.85           0.794328                
92      997.342           0.630957                
93      991.207           0.501187                
94      985.399           0.398107                
95      979.862           0.316228                
96      974.548           0.251189                
97      969.417           0.199526                
98      964.445           0.158489                
99      959.624           0.125893                
100     954.959           0.1                     
101     950.462           0.0794328               
102     946.156           0.0630957               
103     942.067           0.0501187               
104     938.22            0.0398107               
105     934.674           0.0316228               
106     931.625           0.0251189               
107     931.175           0.0199526               
108     935.604           0.0158489               
109     979.147           0.0125893               
110     991.265           0.01                    
111     1701.35           0.00794328              
112     2054.51           0.00630957              
113     2063.95           0.00501187              
114     2080.99           0.00398107              
115     2086.2            0.00316228              
116     2089.87           0.00251189              
117     2092.07           0.00199526              
118     2093.59           0.00158489              
119     2094.66           0.00125893              
120     2095.41           0.001                   
