This file contains the corresponding layer temperatures and pressures.
layer   cent.temp.[K]     cent.press.[10^-6 bar]  
0       1916.27           1e+09                   
1       1916.27           7.94328e+08             
2       1916.28           6.30957e+08             
3       1916.29           5.01187e+08             
4       1916.3            3.98107e+08             
5       1916.31           3.16228e+08             
6       1916.32           2.51189e+08             
7       1916.33           1.99526e+08             
8       1916.33           1.58489e+08             
9       1916.34           1.25893e+08             
10      1916.34           1e+08                   
11      1916.35           7.94328e+07             
12      1916.36           6.30957e+07             
13      1916.36           5.01187e+07             
14      1916.37           3.98107e+07             
15      1916.37           3.16228e+07             
16      1916.38           2.51189e+07             
17      1916.38           1.99526e+07             
18      1916.38           1.58489e+07             
19      1916.38           1.25893e+07             
20      1916.38           1e+07                   
21      1916.38           7.94328e+06             
22      1916.36           6.30957e+06             
23      1916.12           5.01187e+06             
24      1915.2            3.98107e+06             
25      1912.95           3.16228e+06             
26      1909.06           2.51189e+06             
27      1902.95           1.99526e+06             
28      1893.72           1.58489e+06             
29      1879.67           1.25893e+06             
30      1859.05           1e+06                   
31      1832.53           794328                  
32      1798.51           630957                  
33      1756.2            501187                  
34      1706.32           398107                  
35      1651.52           316228                  
36      1595.47           251189                  
37      1539.39           199526                  
38      1484.98           158489                  
39      1432.52           125893                  
40      1383.3            100000                  
41      1337.56           79432.8                 
42      1293.79           63095.7                 
43      1251.27           50118.7                 
44      1211.27           39810.7                 
45      1176.27           31622.8                 
46      1145.21           25118.9                 
47      1117.11           19952.6                 
48      1092.87           15848.9                 
49      1071.48           12589.3                 
50      1053.57           10000                   
51      1037.54           7943.28                 
52      1023.22           6309.57                 
53      1011.44           5011.87                 
54      1002.91           3981.07                 
55      998.031           3162.28                 
56      993.262           2511.89                 
57      989.5             1995.26                 
58      987.129           1584.89                 
59      986.114           1258.93                 
60      986.097           1000                    
61      985.204           794.328                 
62      984.376           630.957                 
63      983.721           501.187                 
64      983.151           398.107                 
65      982.488           316.228                 
66      981.087           251.189                 
67      979.422           199.526                 
68      977.58            158.489                 
69      975.578           125.893                 
70      973.412           100                     
71      970.947           79.4328                 
72      968.445           63.0957                 
73      966.047           50.1187                 
74      963.818           39.8107                 
75      961.692           31.6228                 
76      959.43            25.1189                 
77      956.804           19.9526                 
78      953.55            15.8489                 
79      949.474           12.5893                 
80      944.495           10                      
81      938.639           7.94328                 
82      932.054           6.30957                 
83      924.933           5.01187                 
84      917.488           3.98107                 
85      909.932           3.16228                 
86      902.473           2.51189                 
87      895.213           1.99526                 
88      888.375           1.58489                 
89      882.135           1.25893                 
90      876.533           1                       
91      871.589           0.794328                
92      867.272           0.630957                
93      863.527           0.501187                
94      860.29            0.398107                
95      857.494           0.316228                
96      855.073           0.251189                
97      852.969           0.199526                
98      851.133           0.158489                
99      849.522           0.125893                
100     848.104           0.1                     
101     846.852           0.0794328               
102     845.744           0.0630957               
103     844.765           0.0501187               
104     843.908           0.0398107               
105     843.315           0.0316228               
106     843.642           0.0251189               
107     848.149           0.0199526               
108     859.332           0.0158489               
109     913.442           0.0125893               
110     916.653           0.01                    
111     1631.84           0.00794328              
112     2039.57           0.00630957              
113     2062.45           0.00501187              
114     2079.21           0.00398107              
115     2085.14           0.00316228              
116     2088.96           0.00251189              
117     2091.29           0.00199526              
118     2092.88           0.00158489              
119     2093.99           0.00125893              
120     2094.77           0.001                   
