This file contains the corresponding layer temperatures and pressures.
layer   cent.temp.[K]     cent.press.[10^-6 bar]  
0       1798.5            1e+09                   
1       1798.5            7.94328e+08             
2       1798.5            6.30957e+08             
3       1798.51           5.01187e+08             
4       1798.51           3.98107e+08             
5       1798.52           3.16228e+08             
6       1798.52           2.51189e+08             
7       1798.53           1.99526e+08             
8       1798.53           1.58489e+08             
9       1798.53           1.25893e+08             
10      1798.54           1e+08                   
11      1798.54           7.94328e+07             
12      1798.54           6.30957e+07             
13      1798.54           5.01187e+07             
14      1798.55           3.98107e+07             
15      1798.55           3.16228e+07             
16      1798.55           2.51189e+07             
17      1798.55           1.99526e+07             
18      1798.55           1.58489e+07             
19      1798.56           1.25893e+07             
20      1798.56           1e+07                   
21      1798.56           7.94328e+06             
22      1798.53           6.30957e+06             
23      1798.3            5.01187e+06             
24      1797.36           3.98107e+06             
25      1795.09           3.16228e+06             
26      1791.09           2.51189e+06             
27      1784.62           1.99526e+06             
28      1774.86           1.58489e+06             
29      1760.57           1.25893e+06             
30      1740.88           1e+06                   
31      1716.79           794328                  
32      1687.39           630957                  
33      1652.17           501187                  
34      1611.88           398107                  
35      1569.28           316228                  
36      1527.11           251189                  
37      1485.48           199526                  
38      1444.54           158489                  
39      1404.78           125893                  
40      1367.24           100000                  
41      1332.03           79432.8                 
42      1298.32           63095.7                 
43      1266.12           50118.7                 
44      1236.36           39810.7                 
45      1210.74           31622.8                 
46      1188.51           25118.9                 
47      1169.2            19952.6                 
48      1153.61           15848.9                 
49      1142.4            12589.3                 
50      1135.88           10000                   
51      1131.55           7943.28                 
52      1129.83           6309.57                 
53      1130.95           5011.87                 
54      1134.81           3981.07                 
55      1140.9            3162.28                 
56      1146.44           2511.89                 
57      1152.51           1995.26                 
58      1159.17           1584.89                 
59      1166.2            1258.93                 
60      1173.25           1000                    
61      1178.88           794.328                 
62      1183.98           630.957                 
63      1188.59           501.187                 
64      1192.6            398.107                 
65      1195.87           316.228                 
66      1197.89           251.189                 
67      1199.1            199.526                 
68      1199.51           158.489                 
69      1199.12           125.893                 
70      1197.88           100                     
71      1195.69           79.4328                 
72      1192.79           63.0957                 
73      1189.34           50.1187                 
74      1185.46           39.8107                 
75      1181.16           31.6228                 
76      1176.31           25.1189                 
77      1170.74           19.9526                 
78      1164.23           15.8489                 
79      1156.65           12.5893                 
80      1147.93           10                      
81      1138.05           7.94328                 
82      1127.07           6.30957                 
83      1115.04           5.01187                 
84      1102.08           3.98107                 
85      1088.42           3.16228                 
86      1074.45           2.51189                 
87      1060.53           1.99526                 
88      1047.02           1.58489                 
89      1034.2            1.25893                 
90      1022.27           1                       
91      1011.34           0.794328                
92      1001.47           0.630957                
93      992.65            0.501187                
94      984.841           0.398107                
95      977.98            0.316228                
96      971.996           0.251189                
97      966.815           0.199526                
98      962.358           0.158489                
99      958.553           0.125893                
100     955.327           0.1                     
101     952.613           0.0794328               
102     950.348           0.0630957               
103     948.472           0.0501187               
104     946.931           0.0398107               
105     945.701           0.0316228               
106     944.901           0.0251189               
107     946.465           0.0199526               
108     953.438           0.0158489               
109     999.42            0.0125893               
110     1041.84           0.01                    
111     1800.01           0.00794328              
112     2062.62           0.00630957              
113     2067.68           0.00501187              
114     2082.78           0.00398107              
115     2087.41           0.00316228              
116     2090.73           0.00251189              
117     2092.75           0.00199526              
118     2094.14           0.00158489              
119     2095.13           0.00125893              
120     2095.83           0.001                   
