This file contains the corresponding layer temperatures and pressures.
layer   cent.temp.[K]     cent.press.[10^-6 bar]  
0       2137.02           1e+09                   
1       2136.84           7.76247e+08             
2       2136.49           6.0256e+08              
3       2135.99           4.67735e+08             
4       2135.32           3.63078e+08             
5       2134.44           2.81838e+08             
6       2133.29           2.18776e+08             
7       2131.8            1.69824e+08             
8       2129.88           1.31826e+08             
9       2127.42           1.02329e+08             
10      2124.28           7.94328e+07             
11      2120.29           6.16595e+07             
12      2115.28           4.7863e+07              
13      2109.02           3.71535e+07             
14      2101.3            2.88403e+07             
15      2091.75           2.23872e+07             
16      2079.99           1.7378e+07              
17      2065.8            1.34896e+07             
18      2049.17           1.04713e+07             
19      2030.2            8.12831e+06             
20      2008.72           6.30957e+06             
21      1984.54           4.89779e+06             
22      1957.32           3.80189e+06             
23      1926.84           2.95121e+06             
24      1892.56           2.29087e+06             
25      1854.08           1.77828e+06             
26      1811.32           1.38038e+06             
27      1764.61           1.07152e+06             
28      1714.68           831764                  
29      1661.33           645654                  
30      1604.44           501187                  
31      1545.36           389045                  
32      1487.44           301995                  
33      1431.08           234423                  
34      1377.19           181970                  
35      1327.62           141254                  
36      1282.88           109648                  
37      1241.13           85113.8                 
38      1200.44           66069.3                 
39      1161.69           51286.1                 
40      1126.69           39810.7                 
41      1097.62           30903                   
42      1070.78           23988.3                 
43      1043.6            18620.9                 
44      1018.35           14454.4                 
45      997.882           11220.2                 
46      982.704           8709.64                 
47      969.503           6760.83                 
48      959.704           5248.07                 
49      954.28            4073.8                  
50      953.828           3162.28                 
51      953.34            2454.71                 
52      954.043           1905.46                 
53      956.336           1479.11                 
54      960.104           1148.15                 
55      963.562           891.251                 
56      965.648           691.831                 
57      967.571           537.032                 
58      969.141           416.869                 
59      970.169           323.594                 
60      969.8             251.189                 
61      968.578           194.984                 
62      966.717           151.356                 
63      964.26            117.49                  
64      961.101           91.2011                 
65      957.189           70.7946                 
66      952.771           54.9541                 
67      947.925           42.658                  
68      942.71            33.1131                 
69      937.042           25.704                  
70      930.8             19.9526                 
71      923.744           15.4882                 
72      915.603           12.0226                 
73      906.212           9.33254                 
74      895.476           7.24436                 
75      883.601           5.62341                 
76      871.092           4.36516                 
77      858.348           3.38844                 
78      845.792           2.63027                 
79      833.808           2.04174                 
80      822.707           1.58489                 
81      812.695           1.23027                 
82      803.876           0.954993                
83      796.262           0.74131                 
84      789.798           0.57544                 
85      784.384           0.446684                
86      779.9             0.346737                
87      776.22            0.269153                
88      773.223           0.20893                 
89      770.796           0.162181                
90      768.841           0.125893                
91      767.276           0.0977237               
92      766.026           0.0758578               
93      765.036           0.0588844               
94      764.25            0.0457088               
95      763.632           0.0354813               
96      763.149           0.0275423               
97      762.77            0.0213796               
98      762.475           0.0165959               
99      762.245           0.0128825               
100     762.075           0.01                    
