This file contains the corresponding layer temperatures and pressures.
layer   cent.temp.[K]     cent.press.[10^-6 bar]  
0       2021.44           1e+09                   
1       2020.91           7.76247e+08             
2       2020.02           6.0256e+08              
3       2018.89           4.67735e+08             
4       2017.57           3.63078e+08             
5       2016.1            2.81838e+08             
6       2014.38           2.18776e+08             
7       2012.26           1.69824e+08             
8       2009.51           1.31826e+08             
9       2005.83           1.02329e+08             
10      2000.92           7.94328e+07             
11      1994.43           6.16595e+07             
12      1986.12           4.7863e+07              
13      1975.8            3.71535e+07             
14      1963.39           2.88403e+07             
15      1948.46           2.23872e+07             
16      1929.89           1.7378e+07              
17      1906.12           1.34896e+07             
18      1877.02           1.04713e+07             
19      1843.68           8.12831e+06             
20      1805.71           6.30957e+06             
21      1765.5            4.89779e+06             
22      1725.73           3.80189e+06             
23      1688.43           2.95121e+06             
24      1649.76           2.29087e+06             
25      1605.65           1.77828e+06             
26      1555.19           1.38038e+06             
27      1502.5            1.07152e+06             
28      1450.71           831764                  
29      1396.23           645654                  
30      1341.44           501187                  
31      1290.62           389045                  
32      1245.85           301995                  
33      1203.43           234423                  
34      1162.43           181970                  
35      1124.15           141254                  
36      1090.49           109648                  
37      1061.65           85113.8                 
38      1034.42           66069.3                 
39      1009.18           51286.1                 
40      986.869           39810.7                 
41      968.323           30903                   
42      951.211           23988.3                 
43      935.833           18620.9                 
44      923.258           14454.4                 
45      914.93            11220.2                 
46      909.469           8709.64                 
47      904.987           6760.83                 
48      904.179           5248.07                 
49      908.61            4073.8                  
50      919.338           3162.28                 
51      929.376           2454.71                 
52      941.327           1905.46                 
53      955.67            1479.11                 
54      972.011           1148.15                 
55      987.357           891.251                 
56      1000.53           691.831                 
57      1013.63           537.032                 
58      1026.51           416.869                 
59      1039.25           323.594                 
60      1051.42           251.189                 
61      1063.55           194.984                 
62      1075.52           151.356                 
63      1086.89           117.49                  
64      1097.19           91.2011                 
65      1106.04           70.7946                 
66      1113.52           54.9541                 
67      1119.67           42.658                  
68      1124.61           33.1131                 
69      1128.52           25.704                  
70      1131.7            19.9526                 
71      1134.47           15.4882                 
72      1137.08           12.0226                 
73      1139.72           9.33254                 
74      1142.44           7.24436                 
75      1145.21           5.62341                 
76      1147.94           4.36516                 
77      1150.45           3.38844                 
78      1152.57           2.63027                 
79      1154.13           2.04174                 
80      1154.98           1.58489                 
81      1154.99           1.23027                 
82      1154.06           0.954993                
83      1152.09           0.74131                 
84      1149.02           0.57544                 
85      1144.8            0.446684                
86      1139.4            0.346737                
87      1132.81           0.269153                
88      1125.03           0.20893                 
89      1116.11           0.162181                
90      1106.1            0.125893                
91      1095.17           0.0977237               
92      1083.48           0.0758578               
93      1071.11           0.0588844               
94      1058.26           0.0457088               
95      1045.18           0.0354813               
96      1032.12           0.0275423               
97      1019.34           0.0213796               
98      1007.09           0.0165959               
99      995.572           0.0128825               
100     985.168           0.01                    
