This file contains the corresponding layer temperatures and pressures.
layer   cent.temp.[K]     cent.press.[10^-6 bar]  
0       2381.52           1e+09                   
1       2381.54           7.94328e+08             
2       2381.68           6.30957e+08             
3       2381.8            5.01187e+08             
4       2381.89           3.98107e+08             
5       2381.96           3.16228e+08             
6       2382.03           2.51189e+08             
7       2382.1            1.99526e+08             
8       2382.16           1.58489e+08             
9       2382.22           1.25893e+08             
10      2382.31           1e+08                   
11      2382.37           7.94328e+07             
12      2382.44           6.30957e+07             
13      2382.5            5.01187e+07             
14      2382.55           3.98107e+07             
15      2382.6            3.16228e+07             
16      2382.65           2.51189e+07             
17      2382.68           1.99526e+07             
18      2382.71           1.58489e+07             
19      2382.74           1.25893e+07             
20      2382.76           1e+07                   
21      2382.77           7.94328e+06             
22      2382.78           6.30957e+06             
23      2382.79           5.01187e+06             
24      2382.8            3.98107e+06             
25      2382.81           3.16228e+06             
26      2382.82           2.51189e+06             
27      2382.8            1.99526e+06             
28      2382.47           1.58489e+06             
29      2380.57           1.25893e+06             
30      2374.85           1e+06                   
31      2363.74           794328                  
32      2345.3            630957                  
33      2318.91           501187                  
34      2285.71           398107                  
35      2249.11           316228                  
36      2211.77           251189                  
37      2173.56           199526                  
38      2134.77           158489                  
39      2094.76           125893                  
40      2052.5            100000                  
41      2007.37           79432.8                 
42      1957.42           63095.7                 
43      1902.15           50118.7                 
44      1841.69           39810.7                 
45      1777.79           31622.8                 
46      1713.77           25118.9                 
47      1650.43           19952.6                 
48      1588.77           15848.9                 
49      1531.03           12589.3                 
50      1478.67           10000                   
51      1429.75           7943.28                 
52      1383.65           6309.57                 
53      1341.43           5011.87                 
54      1304.03           3981.07                 
55      1271.45           3162.28                 
56      1241.94           2511.89                 
57      1215.48           1995.26                 
58      1192.5            1584.89                 
59      1173              1258.93                 
60      1156.66           1000                    
61      1141.95           794.328                 
62      1129.02           630.957                 
63      1117.78           501.187                 
64      1107.98           398.107                 
65      1099.16           316.228                 
66      1090.26           251.189                 
67      1081.73           199.526                 
68      1073.6            158.489                 
69      1065.8            125.893                 
70      1058.22           100                     
71      1050.62           79.4328                 
72      1043.16           63.0957                 
73      1035.87           50.1187                 
74      1028.77           39.8107                 
75      1021.86           31.6228                 
76      1015.08           25.1189                 
77      1008.45           19.9526                 
78      1001.94           15.8489                 
79      995.472           12.5893                 
80      988.963           10                      
81      982.368           7.94328                 
82      975.668           6.30957                 
83      968.86            5.01187                 
84      961.964           3.98107                 
85      955.017           3.16228                 
86      948.123           2.51189                 
87      941.325           1.99526                 
88      934.658           1.58489                 
89      928.136           1.25893                 
90      921.723           1                       
91      915.372           0.794328                
92      908.918           0.630957                
93      902.144           0.501187                
94      895.008           0.398107                
95      887.528           0.316228                
96      879.727           0.251189                
97      871.773           0.199526                
98      863.879           0.158489                
99      856.248           0.125893                
100     849.021           0.1                     
101     842.266           0.0794328               
102     836.003           0.0630957               
103     830.223           0.0501187               
104     824.916           0.0398107               
105     820.074           0.0316228               
106     815.7             0.0251189               
107     811.793           0.0199526               
108     808.348           0.0158489               
109     805.35            0.0125893               
110     802.774           0.01                    
111     800.587           0.00794328              
112     798.751           0.00630957              
113     797.22            0.00501187              
114     795.985           0.00398107              
115     794.79            0.00316228              
116     794.963           0.00251189              
117     787.97            0.00199526              
118     825.582           0.00158489              
119     526.218           0.00125893              
120     1577.67           0.001                   
